Algoritmo,Distribuicao,TamanhoVetor,Comparacoes,Trocas,AcessosMemoria,ProfRecursao,TempoNS,MemoriaAuxiliarBytes
Insertion Sort,Repetitivo,5000,6255249,6255245,25021012,0,198556033,12
Selection Sort,Repetitivo,5000,12497500,4987,25014949,0,256328013,12
Merge Sort,Repetitivo,5000,55225,6582,185424,14,7361203,247232
Heap Sort,Repetitivo,5000,107680,57076,443666,0,5663493,12
Shell Sort,Repetitivo,5000,94966,83205,384164,0,4937030,16
Quick Sort,Repetitivo,5000,73227,46947,338298,33,3458886,396
Quick Random,Repetitivo,5000,74720,51427,359205,37,3887023,444
Bubble Sort,Gaussiano,5000,12492134,6240825,49947569,0,511016956,13
Insertion Sort,Gaussiano,5000,6257086,6257087,25028364,0,200820693,12
Selection Sort,Gaussiano,5000,12497500,4990,25014960,0,256002473,12
Merge Sort,Gaussiano,5000,55222,6585,185424,14,7276263,247232
Heap Sort,Gaussiano,5000,107703,57110,443848,0,6049103,12
Shell Sort,Gaussiano,5000,98639,87423,398877,0,5527783,16
Quick Sort,Gaussiano,5000,72631,43768,324020,33,3482956,396
Quick Random,Gaussiano,5000,71915,46828,334832,34,3743900,408
Bubble Sort,Aleatorio,10000,49987326,25008213,200007507,0,2254724213,13
Insertion Sort,Aleatorio,10000,25021181,25021180,100084742,0,1030056133,12
Selection Sort,Aleatorio,10000,49995000,9990,100029961,0,1371327796,12
Merge Sort,Aleatorio,10000,120447,13168,400848,15,22989996,534464
Heap Sort,Aleatorio,10000,235361,124191,967489,0,20446190,12
Shell Sort,Aleatorio,10000,235491,214396,950668,0,23197036,16
Quick Sort,Aleatorio,10000,156362,86050,663598,37,9990373,444
Quick Random,Aleatorio,10000,155830,90240,679287,37,12575756,444
Bubble Sort,Ordenado,10000,9999,0,19998,0,364326,13
Insertion Sort,Ordenado,10000,9999,0,39996,0,699663,12
Selection Sort,Ordenado,10000,49995000,0,99990000,0,1372219503,12
Merge Sort,Ordenado,10000,69008,64608,400848,15,19281690,534464
Heap Sort,Ordenado,10000,244460,131956,1016744,0,17868486,12
Shell Sort,Ordenado,10000,75243,0,300972,0,4866540,16
Quick Sort,Ordenado,10000,49995000,50004999,300019995,10000,2564714666,120000
Quick Random,Ordenado,10000,158403,90125,683992,34,9433880,408
Bubble Sort,Reverso,10000,49995000,49995000,299970000,0,3108077770,13
Insertion Sort,Reverso,10000,49995000,50004999,199999998,0,2025927530,12
Selection Sort,Reverso,10000,49995000,5000,100010000,0,1374413276,12
Merge Sort,Reverso,10000,64608,69008,400848,15,19324093,534464
Heap Sort,Reverso,10000,226682,116696,920148,0,16060853,12
Shell Sort,Reverso,10000,120190,93666,498274,0,8092016,16
Quick Sort,Reverso,10000,49995000,25004999,200019995,10000,1705620276,120000
Quick Random,Reverso,10000,159709,81229,651011,30,9439676,360
Bubble Sort,Parcial,10000,49945840,5785844,123035060,0,1567390896,13
Insertion Sort,Parcial,10000,5810496,5810479,23241986,0,238749613,12
Selection Sort,Parcial,10000,49995000,999,99993999,0,1296363463,12
Merge Sort,Parcial,10000,115529,18086,400848,15,19264870,534464
Heap Sort,Parcial,10000,242536,130100,1005474,0,17772016,12
Shell Sort,Parcial,10000,197559,163869,792052,0,13967316,16
Quick Sort,Parcial,10000,337644,184716,1421792,135,17624076,1620
Quick Random,Parcial,10000,160783,93438,702002,39,10400043,468
Bubble Sort,Repetitivo,10000,49986455,24991943,199940686,0,2494117483,13
Insertion Sort,Repetitivo,10000,25002161,25002156,100008661,0,816274620,12
Selection Sort,Repetitivo,10000,49995000,9986,100029946,0,1056916083,12
Merge Sort,Repetitivo,10000,120460,13155,400848,15,13096166,534464
Heap Sort,Repetitivo,10000,235388,124183,967510,0,11145713,12
Shell Sort,Repetitivo,10000,225488,202096,910575,0,10419963,16
Quick Sort,Repetitivo,10000,163463,102318,744307,38,7990316,456
Quick Random,Repetitivo,10000,160717,109768,768614,36,8760310,432
Bubble Sort,Gaussiano,10000,49985621,24985373,199912736,0,2054623036,13
Insertion Sort,Gaussiano,10000,24968061,24968060,99872263,0,768255356,12
Selection Sort,Gaussiano,10000,49995000,9990,100029960,0,1025689483,12
Merge Sort,Gaussiano,10000,120464,13151,400848,15,13302736,534464
Heap Sort,Gaussiano,10000,235354,124188,967462,0,22051553,12
Shell Sort,Gaussiano,10000,227443,204979,918451,0,10191173,16
Quick Sort,Gaussiano,10000,157356,90809,685329,36,6763840,432
Quick Random,Gaussiano,10000,159064,102021,733589,36,7181040,432
